codim: 5, face: 1/15, weights: [-2, -2, 0, 0, 0], discriminant: m2
codim: 3, face: 58/80, weights: [1, 0, -1, 0, 1], discriminant: 1
codim: 3, face: 59/80, weights: [1, 0, -1, 1, 0], discriminant: 1
codim: 3, face: 60/80, weights: [1, -1, 1, 0, 0], discriminant: 1
codim: 3, face: 61/80, weights: [0, -1, 0, -1, -1], discriminant: 1
codim: 3, face: 62/80, weights: [1, 0, 1, 0, 1], discriminant: 1
codim: 3, face: 63/80, weights: [0, -1, -1, -2, -1], discriminant: 1
codim: 3, face: 64/80, weights: [1, 0, 0, -1, 1], discriminant: 1
codim: 3, face: 65/80, weights: [1, 0, 1, -1, 0], discriminant: 1
codim: 3, face: 66/80, weights: [1, 0, 1, 1, 0], discriminant: 1
codim: 3, face: 67/80, weights: [0, -1, -1, -1, -2], discriminant: 1
codim: 3, face: 68/80, weights: [1, 0, 0, 1, -1], discriminant: 1
codim: 3, face: 69/80, weights: [1, 0, 1, 0, -1], discriminant: 1
codim: 3, face: 70/80, weights: [2, 1, 1, 1, 2], discriminant: 1
codim: 3, face: 71/80, weights: [2, 1, 1, 2, 1], discriminant: 1
codim: 3, face: 72/80, weights: [2, 1, 2, 1, 1], discriminant: 1
codim: 3, face: 73/80, weights: [1, 1, -1, 0, 0], discriminant: 1
codim: 3, face: 74/80, weights: [0, 0, -1, -1, -1], discriminant: 1
codim: 3, face: 75/80, weights: [1, 1, 0, 0, 1], discriminant: 1
codim: 3, face: 76/80, weights: [1, 1, 0, -1, 0], discriminant: 1
codim: 3, face: 77/80, weights: [1, 1, 0, 1, 0], discriminant: 1
codim: 3, face: 78/80, weights: [1, 1, 0, 0, -1], discriminant: 1
codim: 3, face: 79/80, weights: [2, 2, 1, 1, 1], discriminant: 1
codim: 3, face: 80/80, weights: [1, 1, 1, 0, 0], discriminant: 1
codim: 2, face: 1/45, weights: [-2, -1, -1, -1, -1], discriminant: 1
codim: 2, face: 2/45, weights: [-1, 0, 0, 0, 1], discriminant: 1
codim: 2, face: 3/45, weights: [-1, -1, -1, -1, 0], discriminant: m2^2*m4^2 - 2*m2*m3*m4*s51 + m2*m4*s23*s34 - 2*m3^2*s51^2 - 2*m3*s23*s34*s51 + s23^2*s34^2
codim: 2, face: 4/45, weights: [-1, 0, 0, 1, 0], discriminant: 1
codim: 2, face: 5/45, weights: [-1, -1, -1, 0, -1], discriminant: m1^2*m3^2 - 2*m1*m2*m3*s45 + m1*m3*s12*s23 - 2*m2^2*s45^2 - 2*m2*s12*s23*s45 + s12^2*s23^2
codim: 2, face: 6/45, weights: [0, 0, 0, 1, 1], discriminant: m2^2 - 2*m2*m3 + m2*s23 - 2*m3^2 - 2*m3*s23 + s23^2
codim: 2, face: 7/45, weights: [-1, 0, 1, 0, 0], discriminant: 1
codim: 2, face: 8/45, weights: [-1, -1, 0, -1, -1], discriminant: -1/2*m1^2*s34^2 + m1*m2*m5*s34 - 1/2*m1*s12*s34*s51 + m2^2*m5^2 + m2*m5*s12*s51 - 1/2*s12^2*s51^2
codim: 2, face: 9/45, weights: [0, 0, 1, 0, 1], discriminant: m2^2 - 2*m2*s34 + m2*s51 - 2*s34^2 - 2*s34*s51 + s51^2
codim: 2, face: 10/45, weights: [0, 0, 1, 1, 0], discriminant: m1^2 - 2*m1*m2 + m1*s12 - 2*m2^2 - 2*m2*s12 + s12^2
codim: 2, face: 11/45, weights: [-1, -2, -1, -1, -1], discriminant: 1
codim: 2, face: 12/45, weights: [0, -1, 0, 0, 1], discriminant: 1
codim: 2, face: 13/45, weights: [0, -1, 0, 1, 0], discriminant: 1
codim: 2, face: 14/45, weights: [0, -1, 1, 0, 0], discriminant: 1
codim: 2, face: 15/45, weights: [-1, 1, 0, 0, 0], discriminant: 1
codim: 2, face: 16/45, weights: [-1, 0, -1, -1, -1], discriminant: m1^2*m4^2 - 2*m1*m4*m5*s23 + m1*m4*s45*s51 - 2*m5^2*s23^2 - 2*m5*s23*s45*s51 + s45^2*s51^2
codim: 2, face: 17/45, weights: [0, 1, 0, 0, 1], discriminant: m4^2 - 2*m4*s23 + m4*s51 - 2*s23^2 - 2*s23*s51 + s51^2
codim: 2, face: 18/45, weights: [0, 1, 0, 1, 0], discriminant: m1^2 - 2*m1*s23 + m1*s45 - 2*s23^2 - 2*s23*s45 + s45^2
codim: 2, face: 19/45, weights: [-1, -1, -2, -1, -1], discriminant: 1
codim: 2, face: 20/45, weights: [0, 0, -1, 0, 1], discriminant: 1
codim: 2, face: 21/45, weights: [0, 0, -1, 1, 0], discriminant: 1
codim: 2, face: 22/45, weights: [0, 1, -1, 0, 0], discriminant: 1
codim: 2, face: 23/45, weights: [0, 1, 1, 0, 0], discriminant: m1^2 - 2*m1*m5 + m1*s51 - 2*m5^2 - 2*m5*s51 + s51^2
codim: 2, face: 24/45, weights: [-1, -1, -1, -2, -1], discriminant: 1
codim: 2, face: 25/45, weights: [0, 0, 0, -1, 1], discriminant: 1
codim: 2, face: 26/45, weights: [0, 0, 1, -1, 0], discriminant: 1
codim: 2, face: 27/45, weights: [0, 1, 0, -1, 0], discriminant: 1
codim: 2, face: 28/45, weights: [-1, -1, -1, -1, -2], discriminant: 1
codim: 2, face: 29/45, weights: [0, 0, 0, 1, -1], discriminant: 1
codim: 2, face: 30/45, weights: [0, 0, 1, 0, -1], discriminant: 1
codim: 2, face: 31/45, weights: [0, 1, 0, 0, -1], discriminant: 1
codim: 2, face: 32/45, weights: [1, 1, 1, 1, 2], discriminant: 1
codim: 2, face: 33/45, weights: [1, 1, 1, 2, 1], discriminant: 1
codim: 2, face: 34/45, weights: [1, 1, 2, 1, 1], discriminant: 1
codim: 2, face: 35/45, weights: [1, 2, 1, 1, 1], discriminant: 1
codim: 2, face: 36/45, weights: [1, -1, 0, 0, 0], discriminant: 1
codim: 2, face: 37/45, weights: [0, -1, -1, -1, -1], discriminant: m3^2*m5^2 - 2*m3*m4*m5*s12 + m3*m5*s34*s45 - 2*m4^2*s12^2 - 2*m4*s12*s34*s45 + s34^2*s45^2
codim: 2, face: 38/45, weights: [1, 0, 0, 0, 1], discriminant: m3^2 - 2*m3*m4 + m3*s34 - 2*m4^2 - 2*m4*s34 + s34^2
codim: 2, face: 39/45, weights: [1, 0, 0, 1, 0], discriminant: m3^2 - 2*m3*s12 + m3*s45 - 2*s12^2 - 2*s12*s45 + s45^2
codim: 2, face: 40/45, weights: [1, 0, -1, 0, 0], discriminant: 1
codim: 2, face: 41/45, weights: [1, 0, 1, 0, 0], discriminant: m5^2 - 2*m5*s12 + m5*s34 - 2*s12^2 - 2*s12*s34 + s34^2
codim: 2, face: 42/45, weights: [1, 0, 0, -1, 0], discriminant: 1
codim: 2, face: 43/45, weights: [1, 0, 0, 0, -1], discriminant: 1
codim: 2, face: 44/45, weights: [2, 1, 1, 1, 1], discriminant: 1
codim: 2, face: 45/45, weights: [1, 1, 0, 0, 0], discriminant: m4^2 - 2*m4*m5 + m4*s45 - 2*m5^2 - 2*m5*s45 + s45^2
codim: 1, face: 1/12, weights: [-1, -1, -1, -1, -1], discriminant: -m1^2*m3*m4*s34 + m1*m2*m3*m4*m5 - m1*m2*m4^2*s12 + m1*m2*m4*s34*s45 - m1*m3^2*m5*s51 + m1*m3*m4*s12*s51 + m1*m3*m5*s23*s34 + m1*m3*s34*s45*s51 + m1*m4*s12*s23*s34 - m1*s23*s34^2*s45 - m2^2*m4*m5*s45 - m2*m3*m5^2*s23 + m2*m3*m5*s45*s51 + m2*m4*m5*s12*s23 + m2*m4*s12*s45*s51 + m2*m5*s23*s34*s45 - m2*s34*s45^2*s51 + m3*m5*s12*s23*s51 - m3*s12*s45*s51^2 - m4*s12^2*s23*s51 - m5*s12*s23^2*s34 + s12*s23*s34*s45*s51
codim: 1, face: 2/12, weights: [-1, 0, 0, 0, 0], discriminant: 1
codim: 1, face: 3/12, weights: [0, 0, 0, 0, 1], discriminant: m2^2*m4 - m2*m3*m4 + m2*m3*s23 - m2*m3*s51 + m2*m4^2 - m2*m4*s23 - m2*m4*s34 - m2*m4*s51 - m2*s23*s34 + m2*s34*s51 + m3^2*s51 + m3*m4*s34 - m3*m4*s51 - m3*s23*s34 - m3*s23*s51 - m3*s34*s51 + m3*s51^2 - m4*s23*s34 + m4*s23*s51 + s23^2*s34 + s23*s34^2 - s23*s34*s51
codim: 1, face: 4/12, weights: [0, 0, 0, 1, 0], discriminant: m1^2*m3 - m1*m2*m3 + m1*m2*s12 - m1*m2*s45 + m1*m3^2 - m1*m3*s12 - m1*m3*s23 - m1*m3*s45 - m1*s12*s23 + m1*s23*s45 + m2^2*s45 + m2*m3*s23 - m2*m3*s45 - m2*s12*s23 - m2*s12*s45 - m2*s23*s45 + m2*s45^2 - m3*s12*s23 + m3*s12*s45 + s12^2*s23 + s12*s23^2 - s12*s23*s45
codim: 1, face: 5/12, weights: [0, 0, 1, 0, 0], discriminant: -m1^2*s34 + m1*m2*m5 - m1*m2*s12 + m1*m2*s34 + m1*m5*s34 - m1*m5*s51 + m1*s12*s34 + m1*s12*s51 - m1*s34^2 + m1*s34*s51 - m2^2*m5 - m2*m5^2 + m2*m5*s12 + m2*m5*s34 + m2*m5*s51 + m2*s12*s51 - m2*s34*s51 - m5*s12*s34 + m5*s12*s51 - s12^2*s51 + s12*s34*s51 - s12*s51^2
codim: 1, face: 6/12, weights: [0, -1, 0, 0, 0], discriminant: 1
codim: 1, face: 7/12, weights: [0, 1, 0, 0, 0], discriminant: m1^2*m4 + m1*m4^2 - m1*m4*m5 - m1*m4*s23 - m1*m4*s45 - m1*m4*s51 - m1*m5*s23 + m1*m5*s51 + m1*s23*s45 - m1*s45*s51 - m4*m5*s23 + m4*m5*s45 + m4*s23*s51 - m4*s45*s51 + m5^2*s23 + m5*s23^2 - m5*s23*s45 - m5*s23*s51 - m5*s45*s51 - s23*s45*s51 + s45^2*s51 + s45*s51^2
codim: 1, face: 8/12, weights: [0, 0, -1, 0, 0], discriminant: 1
codim: 1, face: 9/12, weights: [0, 0, 0, -1, 0], discriminant: 1
codim: 1, face: 10/12, weights: [0, 0, 0, 0, -1], discriminant: 1
codim: 1, face: 11/12, weights: [1, 1, 1, 1, 1], discriminant: 1
codim: 1, face: 12/12, weights: [1, 0, 0, 0, 0], discriminant: m3^2*m5 - m3*m4*m5 - m3*m4*s12 + m3*m4*s34 + m3*m5^2 - m3*m5*s12 - m3*m5*s34 - m3*m5*s45 + m3*s12*s45 - m3*s34*s45 + m4^2*s12 - m4*m5*s12 + m4*m5*s45 + m4*s12^2 - m4*s12*s34 - m4*s12*s45 - m4*s34*s45 + m5*s12*s34 - m5*s34*s45 - s12*s34*s45 + s34^2*s45 + s34*s45^2
codim: 0, face: 1/1, weights: [0, 0, 0, 0, 0], discriminant: m1^2*m3^2 - 2*m1^2*m3*m4 - 2*m1^2*m3*s34 + m1^2*m4^2 - 2*m1^2*m4*s34 + m1^2*s34^2 + 2*m1*m2*m3*m4 + 2*m1*m2*m3*m5 - 2*m1*m2*m3*s45 - 2*m1*m2*m4^2 + 2*m1*m2*m4*m5 - 4*m1*m2*m4*s12 + 2*m1*m2*m4*s34 + 2*m1*m2*m4*s45 - 2*m1*m2*m5*s34 + 2*m1*m2*s34*s45 - 2*m1*m3^2*m5 - 2*m1*m3^2*s51 + 2*m1*m3*m4*m5 + 2*m1*m3*m4*s12 - 4*m1*m3*m4*s34 + 2*m1*m3*m4*s51 + 2*m1*m3*m5*s23 + 2*m1*m3*m5*s34 - 4*m1*m3*m5*s51 - 2*m1*m3*s12*s23 + 2*m1*m3*s12*s51 + 2*m1*m3*s23*s34 + 2*m1*m3*s34*s45 + 2*m1*m3*s34*s51 + 2*m1*m3*s45*s51 - 2*m1*m4^2*s12 - 2*m1*m4*m5*s23 + 2*m1*m4*s12*s23 + 2*m1*m4*s12*s34 + 2*m1*m4*s12*s51 + 2*m1*m4*s23*s34 + 2*m1*m4*s34*s45 - 2*m1*m4*s45*s51 + 2*m1*m5*s23*s34 + 2*m1*s12*s23*s34 - 2*m1*s12*s34*s51 - 2*m1*s23*s34^2 - 4*m1*s23*s34*s45 - 2*m1*s34^2*s45 + 2*m1*s34*s45*s51 + m2^2*m4^2 - 2*m2^2*m4*m5 - 2*m2^2*m4*s45 + m2^2*m5^2 - 2*m2^2*m5*s45 + m2^2*s45^2 + 2*m2*m3*m4*m5 - 2*m2*m3*m4*s51 - 2*m2*m3*m5^2 - 4*m2*m3*m5*s23 + 2*m2*m3*m5*s45 + 2*m2*m3*m5*s51 + 2*m2*m3*s45*s51 - 2*m2*m4^2*s12 + 2*m2*m4*m5*s12 + 2*m2*m4*m5*s23 - 4*m2*m4*m5*s45 + 2*m2*m4*s12*s23 + 2*m2*m4*s12*s45 + 2*m2*m4*s12*s51 - 2*m2*m4*s23*s34 + 2*m2*m4*s34*s45 + 2*m2*m4*s45*s51 - 2*m2*m5^2*s23 + 2*m2*m5*s12*s23 - 2*m2*m5*s12*s51 + 2*m2*m5*s23*s34 + 2*m2*m5*s23*s45 + 2*m2*m5*s34*s45 + 2*m2*m5*s45*s51 - 2*m2*s12*s23*s45 + 2*m2*s12*s45*s51 + 2*m2*s23*s34*s45 - 2*m2*s34*s45^2 - 4*m2*s34*s45*s51 - 2*m2*s45^2*s51 + m3^2*m5^2 - 2*m3^2*m5*s51 + m3^2*s51^2 - 2*m3*m4*m5*s12 + 2*m3*m4*s12*s51 - 2*m3*m5^2*s23 + 2*m3*m5*s12*s23 + 2*m3*m5*s12*s51 + 2*m3*m5*s23*s34 + 2*m3*m5*s23*s51 - 2*m3*m5*s34*s45 + 2*m3*m5*s45*s51 + 2*m3*s12*s23*s51 - 4*m3*s12*s45*s51 - 2*m3*s12*s51^2 - 2*m3*s23*s34*s51 + 2*m3*s34*s45*s51 - 2*m3*s45*s51^2 + m4^2*s12^2 + 2*m4*m5*s12*s23 - 2*m4*s12^2*s23 - 2*m4*s12^2*s51 + 2*m4*s12*s23*s34 - 4*m4*s12*s23*s51 - 2*m4*s12*s34*s45 + 2*m4*s12*s45*s51 + m5^2*s23^2 - 2*m5*s12*s23^2 - 4*m5*s12*s23*s34 + 2*m5*s12*s23*s51 - 2*m5*s23^2*s34 + 2*m5*s23*s34*s45 - 2*m5*s23*s45*s51 + s12^2*s23^2 - 2*s12^2*s23*s51 + s12^2*s51^2 - 2*s12*s23^2*s34 + 2*s12*s23*s34*s45 + 2*s12*s23*s34*s51 + 2*s12*s23*s45*s51 + 2*s12*s34*s45*s51 - 2*s12*s45*s51^2 + s23^2*s34^2 - 2*s23*s34^2*s45 + 2*s23*s34*s45*s51 + s34^2*s45^2 - 2*s34*s45^2*s51 + s45^2*s51^2
